,hanzi,pinyin,translation,ipa,valid_ipa,dolgo,custom_alphabet_5,custom_alphabet_10,custom_alphabet_15,custom_alphabet_20
56,里,lǐ,li (Chinese mile),li,True,RV,BA,CH,JL,JS
57,零,líng,zero,liŋ,True,RVN,BAE,CHE,JLN,JSP
58,六,liù,six,ljoʊ,True,RRVV,BADD,CHAH,JLIB,JCBO
59,妈妈,mā ma,mama,mama,True,MVMV,CACA,GDGD,KFKF,IGIG
60,吗,ma,(question tag),ma,True,MV,CA,GD,KF,IG
61,买,mǎi,to buy,maɪ,True,MVV,CAA,GDH,KFB,IGL
62,猫,māo,cat,mɑʊ,True,MVV,CAD,GDH,KFB,IGO
63,没,méi,(negative prefix for verbs),meɪ,True,MVV,CAA,GDH,KMB,ILL
64,没关系,méi guān xi,it doesn't matter,meɪkwanɕi,True,MVVKRVNKV,CAAEDACBA,GDHEFDCBH,KMBEDFKOL,ILLEQGAMS
65,米饭,mǐ fàn,(cooked) rice,mifan,True,MVPVN,CACAC,GHGDC,KLCFK,ISNGA
66,明天,míng tiān,tomorrow,miŋtʰjɛn,True,MVNTRVN,CAEBFAAC,GHECKHAC,KLNGPLMK,ISPRUCLA
67,名字,míng zi,name (of a person or thing),miŋtsɯ,True,MVNTTV,CAEBBA,GHECIH,KLNGGB,ISPRFO
68,哪,nǎ,how,na,True,NV,CA,CD,KF,AG
69,那,nà,that,na,True,NV,CA,CD,KF,AG
70,呢,ne,"particle indicating that a previously asked question is to be applied to the preceding word (""What about ...?""",nɤ,True,NV,CA,CD,KI,AB
71,能,néng,to be able to,nɤŋ,True,NVN,CAE,CDE,KIN,ABP
72,你,nǐ,you (informal,ni,True,NV,CA,CH,KL,AS
73,年,nián,year,njɛn,True,NRVN,CAAC,CHAC,KLMK,ACLA
74,女儿,nǚ ér,daughter,nyɑɻ,True,NVVR,CDAA,CFDI,KDFJ,AKGC
75,朋友,péng you,friend,pʰɤŋyoʊ,True,PVNVVV,CFAEDDD,GKDEFAH,CPINDIB,IUBPKBO
76,漂亮,piào liang,pretty,pʰjɑʊljɑŋ,True,PRVVRRVN,CFAADBAAE,GKHDHCHDE,CPLFBJLFN,IUCGOJCGP
77,苹果,píng guǒ,apple,pʰiŋkwɔ,True,PVNKRV,CFAEEDA,GKHEEFA,CPLNEDI,IUSPEQB
78,七,qī,seven,tɕʰi,True,TKV,BBFA,CBKH,GOPL,RMUS
79,钱,qián,coin,tɕʰjɛn,True,TKRVN,BBFAAC,CBKHAC,GOPLMK,RMUCLA
80,前面,qián miàn,ahead,tɕʰjɛnmjɛn,True,TKRVNMRVN,BBFAACCAAC,CBKHACGHAC,GOPLMKKLMK,RMUCLAICLA
81,请,qǐng,to ask,tɕʰiŋ,True,TKVN,BBFAE,CBKHE,GOPLN,RMUSP
82,去,qù,to go,tɕʰy,True,TKV,BBFD,CBKF,GOPD,RMUK
83,热,rè,to warm up,ʐɤ,True,TV,BA,ID,AI,HB
84,人,rén,man,ʐən,True,TVN,BAC,IAC,ABK,HLA
85,认识,rèn shi,to know,ʐənʂɨ,True,TVNTV,BACBA,IACIH,ABKOL,HLAFS
86,日,rì,sun,ʐɨ,True,TV,BA,IH,AL,HS
87,三,sān,three,san,True,TVN,BAC,IDC,GFK,FGA
88,商店,shāng diàn,store,ʂɑŋtjɛn,True,TVNTRVN,BAEBAAC,IDECHAC,OFNGLMK,FGPRCLA
89,上,shàng,on top,ʂɑŋ,True,TVN,BAE,IDE,OFN,FGP
90,上午,shàng wǔ,morning,ʂɑŋu,True,TVNV,BAED,IDEF,OFND,FGPK
91,少,shǎo,few,ʂɑʊ,True,TVV,BAD,IDH,OFB,FGO
92,谁,shéi,who,ʂweɪ,True,TRVV,BDAA,IFDH,ODMB,FQLL
93,什么,shén me,what?,ʂənmɤ,True,TVNMV,BACCA,IACGD,OBKKI,FLAIB
94,十,shí,ten,ʂɨ,True,TV,BA,IH,OL,FS
95,时候,shí hou,time,ʂɨxoʊ,True,TVKVV,BAEDD,IHEAH,OLEIB,FSEBO
96,是,shì,is,ʂɨ,True,TV,BA,IH,OL,FS
97,书,shū,book,ʂu,True,TV,BD,IF,OD,FK
98,水,shuǐ,water,ʂweɪ,True,TRVV,BDAA,IFDH,ODMB,FQLL
99,水果,shuǐ guǒ,fruit,ʂweɪkwɔ,True,TRVVKRV,BDAAEDA,IFDHEFA,ODMBEDI,FQLLEQB
100,睡觉,shuì jiào,to go to bed,ʂweɪtɕjɑʊ,True,TRVVTKRVV,BDAABBAAD,IFDHCBHDH,ODMBGOLFB,FQLLRMCGO
101,说话,shuō huà,to speak,ʂwɔxwa,True,TRVKRV,BDAEDA,IFAEFD,ODIEDF,FQBEQG
102,四,sì,four,sɯ,True,TV,BA,IH,GB,FO
103,岁,suì,classifier for years (of age),sweɪ,True,TRVV,BDAA,IFDH,GDMB,FQLL
104,他,tā,he or him,tʰa,True,TV,BFA,CKD,GPF,RUG
105,她,tā,she,tʰa,True,TV,BFA,CKD,GPF,RUG
106,太,tài,highest,tʰaɪ,True,TVV,BFAA,CKDH,GPFB,RUGL
107,天气,tiān qì,weather,tʰjɛntɕʰi,True,TRVNTKV,BFAACBBFA,CKHACCBKH,GPLMKGOPL,RUCLARMUS
108,听,tīng,to listen,tʰiŋ,True,TVN,BFAE,CKHE,GPLN,RUSP
109,同学,tóng xué,to study at the same school,tʰʊŋɕɥœ,True,TVNKRV,BFDEBDA,CKHEBFA,GPBNODM,RUOPMQL
110,喂,wèi,to feed,weɪ,True,RVV,DAA,FDH,DMB,QLL
111,我,wǒ,I,wɔ,True,RV,DA,FA,DI,QB
112,我们,wǒ men,we,wɔmən,True,RVMVN,DACAC,FAGAC,DIKBK,QBILA
113,五,wǔ,five,u,True,V,D,F,D,K
114,喜欢,xǐ huan,to like,ɕixwan,True,KVKRVN,BAEDAC,BHEFDC,OLEDFK,MSEQGA
115,下,xià,down,ɕja,True,KRV,BAA,BHD,OLF,MCG
116,下午,xià wǔ,afternoon,ɕjau,True,KRVV,BAAD,BHDF,OLFD,MCGK
117,下雨,xià yǔ,to rain,ɕjay,True,KRVV,BAAD,BHDF,OLFD,MCGK
118,先生,xiān sheng,teacher,ɕjɛnʂɤŋ,True,KRVNTVN,BAACBAE,BHACIDE,OLMKOIN,MCLAFBP
119,现在,xiàn zài,now,ɕjɛntsaɪ,True,KRVNTTVV,BAACBBAA,BHACCIDH,OLMKGGFB,MCLARFGL
120,想,xiǎng,to think,ɕjɑŋ,True,KRVN,BAAE,BHDE,OLFN,MCGP
121,小,xiǎo,small,ɕjɑʊ,True,KRVV,BAAD,BHDH,OLFB,MCGO
122,小姐,xiǎo jie,young lady,ɕjɑʊtɕjɛ,True,KRVVTKRV,BAADBBAA,BHDHCBHA,OLFBGOLM,MCGORMCL
123,些,xiē,some,ɕjɛ,True,KRV,BAA,BHA,OLM,MCL
124,写,xiě,to write,ɕjɛ,True,KRV,BAA,BHA,OLM,MCL
125,谢谢,xiè xie,to thank,ɕjɛɕjɛ,True,KRVKRV,BAABAA,BHABHA,OLMOLM,MCLMCL
126,星期,xīng qī,week,ɕiŋtɕʰi,True,KVNTKV,BAEBBFA,BHECBKH,OLNGOPL,MSPRMUS
127,学生,xué sheng,student,ɕɥœʂɤŋ,True,KRVTVN,BDABAE,BFAIDE,ODMOIN,MQLFBP
128,学习,xué xí,to learn,ɕɥœɕi,True,KRVKV,BDABA,BFABH,ODMOL,MQLMS
129,学校,xué xiào,school,ɕɥœɕjɑʊ,True,KRVKRVV,BDABAAD,BFABHDH,ODMOLFB,MQLMCGO
130,一,yī,one,i,True,V,A,H,L,S
131,衣服,yī fu,clothes,ifu,True,VPV,ACD,HGF,LCD,SNK
132,医生,yī shēng,doctor,iʂɤŋ,True,VTVN,ABAE,HIDE,LOIN,SFBP
133,医院,yī yuàn,hospital,iɥœn,True,VRVN,ADAC,HFAC,LDMK,SQLA
134,椅子,yǐ zi,chair,itsɯ,True,VTTV,ABBA,HCIH,LGGB,SRFO
135,有,yǒu,to have,yoʊ,True,VVV,DDD,FAH,DIB,KBO
136,月,yuè,moon,ɥœ,True,RV,DA,FA,DM,QL
137,在,zài,(located) at,tsaɪ,True,TTVV,BBAA,CIDH,GGFB,RFGL
138,再见,zài jiàn,goodbye,tsaɪtɕjɛn,True,TTVVTKRVN,BBAABBAAC,CIDHCBHAC,GGFBGOLMK,RFGLRMCLA
139,怎么,zěn me,variant of 怎麼|怎么[zěn me],tsənmɤ,True,TTVNMV,BBACCA,CIACGD,GGBKKI,RFLAIB
140,怎么样,zěn me yàng,how?,tsənmɤjɑŋ,True,TTVNMVRVN,BBACCAAAE,CIACGDHDE,GGBKKILFN,RFLAIBCGP
141,这,zhè,this,ʈʂɤ,True,TTV,BBA,IID,GOI,RFB
142,中国,Zhōng guó,China,ʈʂʊŋkwɔ,True,TTVNKRV,BBDEEDA,IIHEEFA,GOBNEDI,RFOPEQB
143,中午,zhōng wǔ,noon,ʈʂʊŋu,True,TTVNV,BBDED,IIHEF,GOBND,RFOPK
144,住,zhù,to live,ʈʂu,True,TTV,BBD,IIF,GOD,RFK
145,桌子,zhuō zi,table,ʈʂwɔtsɯ,True,TTRVTTV,BBDABBA,IIFACIH,GODIGGB,RFQBRFO
146,字,zì,letter,tsɯ,True,TTV,BBA,CIH,GGB,RFO
147,昨天,zuó tiān,yesterday,tswɔtʰjɛn,True,TTRVTRVN,BBDABFAAC,CIFACKHAC,GGDIGPLMK,RFQBRUCLA
148,坐,zuò,to sit,tswɔ,True,TTRV,BBDA,CIFA,GGDI,RFQB
149,做,zuò,to do,tswɔ,True,TTRV,BBDA,CIFA,GGDI,RFQB
150,吧,ba,(modal particle indicating suggestion or surmise),pa,True,PV,CA,GD,CF,IG
151,白,bái,white,paɪ,True,PVV,CAA,GDH,CFB,IGL
152,百,bǎi,hundred,paɪ,True,PVV,CAA,GDH,CFB,IGL
153,帮助,bāng zhù,assistance,pɑŋʈʂu,True,PVNTTV,CAEBBD,GDEIIF,CFNGOD,IGPRFK
154,报纸,bào zhǐ,newspaper,pɑʊʈʂɨ,True,PVVTTV,CADBBA,GDHIIH,CFBGOL,IGORFS
155,比,bǐ,"(particle used for comparison and ""-er than"")",pi,True,PV,CA,GH,CL,IS
156,别,bié,to leave,pjɛ,True,PRV,CAA,GHA,CLM,ICL
157,长,cháng,length,ʈʂɑŋ,True,TTVN,BBAE,IIDE,GOFN,RFGP
158,唱歌,chàng gē,to sing a song,ʈʂʰɑŋkɤ,True,TTVNKV,BBFAEEA,IIKDEED,GOPFNEI,RFUGPEB
159,出,chū,to go out,ʈʂʰu,True,TTV,BBFD,IIKF,GOPD,RFUK
160,穿,chuān,to bore through,ʈʂʰwan,True,TTRVN,BBFDAC,IIKFDC,GOPDFK,RFUQGA
161,船,chuán,a boat,ʈʂʰwan,True,TTRVN,BBFDAC,IIKFDC,GOPDFK,RFUQGA
162,次,cì,next in sequence,tsʰɯ,True,TTV,BBFA,CIKH,GGPB,RFUO
163,从,cóng,from,tsʰʊŋ,True,TTVN,BBFDE,CIKHE,GGPBN,RFUOP
164,错,cuò,mistake,tsʰwɔ,True,TTRV,BBFDA,CIKFA,GGPDI,RFUQB
165,打篮球,dá lán qiú,Play basketball,talantɕʰjoʊ,True,TVRVNTKRVV,BABACBBFADD,CDCDCCBKHAH,GFJFKGOPLIB,RGJGARMUCBO
166,大家,dà jiā,everyone,tatɕja,True,TVTKRV,BABBAA,CDCBHD,GFGOLF,RGRMCG
167,但是,dàn shì,but,tanʂɨ,True,TVNTV,BACBA,CDCIH,GFKOL,RGAFS
168,到,dào,to (a place),tɑʊ,True,TVV,BAD,CDH,GFB,RGO
169,得,de,structural particle: used after a verb (or adjective as main verb),tɤ,True,TV,BA,CD,GI,RB
170,得,děi,to have to,tɤ,True,TV,BA,CD,GI,RB
171,弟弟,dì di,younger brother,titi,True,TVTV,BABA,CHCH,GLGL,RSRS
172,第一,dì yī,first,tii,True,TVV,BAA,CHH,GLL,RSS
173,懂,dǒng,to understand,tʊŋ,True,TVN,BDE,CHE,GBN,ROP
174,房间,fáng jiān,room,fɑŋtɕjɛn,True,PVNTKRVN,CAEBBAAC,GDECBHAC,CFNGOLMK,NGPRMCLA
175,非常,fēi cháng,unusual,feɪʈʂʰɑŋ,True,PVVTTVN,CAABBFAE,GDHIIKDE,CMBGOPFN,NLLRFUGP
176,服务员,fú wù yuán,waiter,fuuɥœn,True,PVVRVN,CDDDAC,GFFFAC,CDDDMK,NKKQLA
177,高,gāo,high,kɑʊ,True,KVV,EAD,EDH,EFB,EGO
178,告诉,gào su,to tell,kɑʊsu,True,KVVTV,EADBD,EDHIF,EFBGD,EGOFK
179,哥哥,gē ge,older brother,kɤkɤ,True,KVKV,EAEA,EDED,EIEI,EBEB
180,给,gěi,to,keɪ,True,KVV,EAA,EDH,EMB,ELL
181,公共汽车,gōng gòng qì chē,bus,kʊŋkʊŋtɕʰiʈʂʰɤ,True,KVNKVNTKVTTV,EDEEDEBBFABBFA,EHEEHECBKHIIKD,EBNEBNGOPLGOPI,EOPEOPRMUSRFUB
182,公斤,gōng jīn,kilogram (kg),kʊŋtɕin,True,KVNTKVN,EDEBBAC,EHECBHC,EBNGOLK,EOPRMSA
183,公司,gōng sī,(business) company,kʊŋsɯ,True,KVNTV,EDEBA,EHEIH,EBNGB,EOPFO
184,贵,guì,expensive,kweɪ,True,KRVV,EDAA,EFDH,EDMB,EQLL
185,还,hái,still,xaɪ,True,KVV,EAA,EDH,EFB,EGL
186,孩子,hái zi,child,xaɪtsɯ,True,KVVTTV,EAABBA,EDHCIH,EFBGGB,EGLRFO
187,好吃,hǎo chī,tasty,xɑʊʈʂʰɨ,True,KVVTTV,EADBBFA,EDHIIKH,EFBGOPL,EGORFUS
188,号,hào,ordinal number,xɑʊ,True,KVV,EAD,EDH,EFB,EGO
189,黑,hēi,black,xeɪ,True,KVV,EAA,EDH,EMB,ELL
190,红,hóng,red,xʊŋ,True,KVN,EDE,EHE,EBN,EOP
191,欢迎,huān yíng,to welcome,xwaniŋ,True,KRVNVN,EDACAE,EFDCHE,EDFKLN,EQGASP
192,还,huán,to pay back,xaɪ,True,KVV,EAA,EDH,EFB,EGL
193,回答,huí dá,to reply,xweɪta,True,KRVVTV,EDAABA,EFDHCD,EDMBGF,EQLLRG
194,机场,jī chǎng,airport,tɕiʈʂʰɑŋ,True,TKVTTVN,BBABBFAE,CBHIIKDE,GOLGOPFN,RMSRFUGP
195,鸡蛋,jī dàn,(chicken) egg,tɕitan,True,TKVTVN,BBABAC,CBHCDC,GOLGFK,RMSRGA
196,件,jiàn,item,tɕjɛn,True,TKRVN,BBAAC,CBHAC,GOLMK,RMCLA
197,教室,jiào shì,classroom,tɕjɑʊʂɨ,True,TKRVVTV,BBAADBA,CBHDHIH,GOLFBOL,RMCGOFS
198,姐姐,jiě jie,older sister,tɕjɛtɕjɛ,True,TKRVTKRV,BBAABBAA,CBHACBHA,GOLMGOLM,RMCLRMCL
199,介绍,jiè shào,to introduce (sb to sb),tɕjɛʂɑʊ,True,TKRVTVV,BBAABAD,CBHAIDH,GOLMOFB,RMCLFGO
200,进,jìn,to advance,tɕin,True,TKVN,BBAC,CBHC,GOLK,RMSA
201,近,jìn,near,tɕin,True,TKVN,BBAC,CBHC,GOLK,RMSA
202,就,jiù,at once,tɕjoʊ,True,TKRVV,BBADD,CBHAH,GOLIB,RMCBO
203,觉得,jué de,to think,tɕɥœtɤ,True,TKRVTV,BBDABA,CBFACD,GODMGI,RMQLRB
204,咖啡,kā fēi,coffee,kʰafeɪ,True,KVPVV,EFACAA,EKDGDH,EPFCMB,EUGNLL
205,开始,kāi shǐ,to begin,kʰaɪʂɨ,True,KVVTV,EFAABA,EKDHIH,EPFBOL,EUGLFS
206,考试,kǎo shì,to take an exam,kʰɑʊʂɨ,True,KVVTV,EFADBA,EKDHIH,EPFBOL,EUGOFS
207,可能,kě néng,might (happen),kʰɤnɤŋ,True,KVNVN,EFACAE,EKDCDE,EPIKIN,EUBABP
208,可以,kě yǐ,can,kʰɤi,True,KVV,EFAA,EKDH,EPIL,EUBS
209,课,kè,subject,kʰɤ,True,KV,EFA,EKD,EPI,EUB
210,快,kuài,rapid,kʰwaɪ,True,KRVV,EFDAA,EKFDH,EPDFB,EUQGL
211,快乐,kuài lè,happy,kʰwaɪlɤ,True,KRVVRV,EFDAABA,EKFDHCD,EPDFBJI,EUQGLJB
212,累,lèi,tired,leɪ,True,RVV,BAA,CDH,JMB,JLL
213,离,lí,to leave,li,True,RV,BA,CH,JL,JS
214,两,liǎng,both,ljɑŋ,True,RRVN,BAAE,CHDE,JLFN,JCGP
215,路,lù,road,lu,True,RV,BD,CF,JD,JK
216,旅游,lǚ yóu,trip,lyyoʊ,True,RVVVV,BDDDD,CFFAH,JDDIB,JKKBO
217,卖,mài,to sell,maɪ,True,MVV,CAA,GDH,KFB,IGL
218,慢,màn,slow,man,True,MVN,CAC,GDC,KFK,IGA
219,忙,máng,busy,mɑŋ,True,MVN,CAE,GDE,KFN,IGP
220,每,měi,each,meɪ,True,MVV,CAA,GDH,KMB,ILL
221,妹妹,mèi mei,younger sister,meɪmeɪ,True,MVVMVV,CAACAA,GDHGDH,KMBKMB,ILLILL
222,门,mén,gate,mən,True,MVN,CAC,GAC,KBK,ILA
223,男人,nán rén,a man,nanʐən,True,NVNTVN,CACBAC,CDCIAC,KFKABK,AGAHLA
224,您,nín,you (courteous,nin,True,NVN,CAC,CHC,KLK,ASA
225,牛奶,niú nǎi,cow's milk,njoʊnaɪ,True,NRVVNVV,CADDCAA,CHAHCDH,KLIBKFB,ACBOAGL
226,女人,nǚ rén,woman,nyʐən,True,NVTVN,CDBAC,CFIAC,KDABK,AKHLA
227,旁边,páng biān,lateral,pʰɑŋpjɛn,True,PVNPRVN,CFAECAAC,GKDEGHAC,CPFNCLMK,IUGPICLA
228,跑步,pǎo bù,to walk quickly,pʰɑʊpu,True,PVVPV,CFADCD,GKDHGF,CPFBCD,IUGOIK
229,便宜,pián yi,small advantages,pʰjɛni,True,PRVNV,CFAACA,GKHACH,CPLMKL,IUCLAS
230,票,piào,ticket,pʰjɑʊ,True,PRVV,CFAAD,GKHDH,CPLFB,IUCGO
231,妻子,qī zi,wife,tɕʰitsɯ,True,TKVTTV,BBFABBA,CBKHCIH,GOPLGGB,RMUSRFO
232,起床,qǐ chuáng,to get out of bed,tɕʰiʈʂʰwɑŋ,True,TKVTTRVN,BBFABBFDAE,CBKHIIKFDE,GOPLGOPDFN,RMUSRFUQGP
233,千,qiān,a swing,tɕʰjɛn,True,TKRVN,BBFAAC,CBKHAC,GOPLMK,RMUCLA
234,晴,qíng,clear,tɕʰiŋ,True,TKVN,BBFAE,CBKHE,GOPLN,RMUSP
235,去年,qù nián,last year,tɕʰynjɛn,True,TKVNRVN,BBFDCAAC,CBKFCHAC,GOPDKLMK,RMUKACLA
236,让,ràng,to yield,ʐɑŋ,True,TVN,BAE,IDE,AFN,HGP
237,上班,shàng bān,to go to work,ʂɑŋpan,True,TVNPVN,BAECAC,IDEGDC,OFNCFK,FGPIGA
238,身体,shēn tǐ,(human) body,ʂəntʰi,True,TVNTV,BACBFA,IACCKH,OBKGPL,FLARUS
239,生病,shēng bìng,to fall ill,ʂɤŋpiŋ,True,TVNPVN,BAECAE,IDEGHE,OINCLN,FBPISP
240,生日,shēng rì,birthday,ʂɤŋʐɨ,True,TVNTV,BAEBA,IDEIH,OINAL,FBPHS
241,时间,shí jiān,time,ʂɨtɕjɛn,True,TVTKRVN,BABBAAC,IHCBHAC,OLGOLMK,FSRMCLA
242,事情,shì qing,affair,ʂɨtɕʰiŋ,True,TVTKVN,BABBFAE,IHCBKHE,OLGOPLN,FSRMUSP
243,手表,shǒu biǎo,wrist watch,ʂoʊpjɑʊ,True,TVVPRVV,BDDCAAD,IAHGHDH,OIBCLFB,FBOICGO
244,手机,shǒu jī,cell phone,ʂoʊtɕi,True,TVVTKV,BDDBBA,IAHCBH,OIBGOL,FBORMS
245,送,sòng,to deliver,sʊŋ,True,TVN,BDE,IHE,GBN,FOP
246,所以,suǒ yǐ,therefore,swɔi,True,TRVV,BDAA,IFAH,GDIL,FQBS
247,它,tā,it,tʰa,True,TV,BFA,CKD,GPF,RUG
248,踢,tī,to kick,tʰi,True,TV,BFA,CKH,GPL,RUS
249,题,tí,topic,tʰi,True,TV,BFA,CKH,GPL,RUS
250,跳舞,tiào wǔ,to dance,tʰjɑʊu,True,TRVVV,BFAADD,CKHDHF,GPLFBD,RUCGOK
251,外,wài,outside,waɪ,True,RVV,DAA,FDH,DFB,QGL
252,完,wán,to finish,wan,True,RVN,DAC,FDC,DFK,QGA
253,玩,wán,toy,wan,True,RVN,DAC,FDC,DFK,QGA
254,晚上,wǎn shang,evening,wanʂɑŋ,True,RVNTVN,DACBAE,FDCIDE,DFKOFN,QGAFGP
255,为,wèi,variant of 為|为,weɪ,True,RVV,DAA,FDH,DMB,QLL
256,问,wèn,to ask,wən,True,RVN,DAC,FAC,DBK,QLA
257,问题,wèn tí,question,wəntʰi,True,RVNTV,DACBFA,FACCKH,DBKGPL,QLARUS
258,西瓜,xī guā,watermelon,ɕikwa,True,KVKRV,BAEDA,BHEFD,OLEDF,MSEQG
259,希望,xī wàng,to wish for,ɕiwɑŋ,True,KVRVN,BADAE,BHFDE,OLDFN,MSQGP
260,洗,xǐ,to wash,ɕi,True,KV,BA,BH,OL,MS
261,向,xiàng,towards,ɕjɑŋ,True,KRVN,BAAE,BHDE,OLFN,MCGP
262,小时,xiǎo shí,hour,ɕjɑʊʂɨ,True,KRVVTV,BAADBA,BHDHIH,OLFBOL,MCGOFS
263,笑,xiào,laugh,ɕjɑʊ,True,KRVV,BAAD,BHDH,OLFB,MCGO
