chinese_hanzi,chinese_pinyin,chinese_phonetic,english_word,english_phonetic,distance,chinese_ipa,english_ipa
大家,dà jiā,,titled,,0.5357142857142857,tatɕja,taɪtəld
但是,dàn shì,,johnny,,0.4,tanʂɨ,ʤɑni
到,dào,,now,,0.25,tɑʊ,naʊ
得,de,,tow,,0.4999999999999999,tɤ,toʊ
得,děi,,tow,,0.4999999999999999,tɤ,toʊ
弟弟,dì di,,cities,,0.4,titi,sɪtiz
第一,dì yī,,to,,0.5,tii,tɪ
懂,dǒng,,eating,,0.375,tʊŋ,itɪŋ
房间,fáng jiān,,congressman,,0.575,fɑŋtɕjɛn,kɑŋgrəsmən
非常,fēi cháng,,maintaining,,0.55,feɪʈʂʰɑŋ,meɪnteɪnɪŋ
服务员,fú wù yuán,,when,,0.5833333333333333,fuuɥœn,wɪn
高,gāo,,cows,,0.25,kɑʊ,kaʊz
告诉,gào su,,out,,0.5,kɑʊsu,aʊt
哥哥,gē ge,,quickly,,0.5833333333333333,kɤkɤ,kwɪkli
给,gěi,,came,,0.25,keɪ,keɪm
公共汽车,gōng gòng qì chē,,experimentation,,0.84375,kʊŋkʊŋtɕʰiʈʂʰɤ,ɪkspɛrəmənteɪʃən
公斤,gōng jīn,,hometown,,0.5625,kʊŋtɕin,hoʊmtaʊn
公司,gōng sī,,county,,0.5,kʊŋsɯ,kaʊnti
贵,guì,,claim,,0.4,kweɪ,kleɪm
还,hái,,sky,,0.25,xaɪ,skaɪ
孩子,hái zi,,quality,,0.4999999999999999,xaɪtsɯ,kwɑləti
好吃,hǎo chī,,capacity,,0.59375,xɑʊʈʂʰɨ,kəpæsɪti
号,hào,,cows,,0.25,xɑʊ,kaʊz
黑,hēi,,came,,0.25,xeɪ,keɪm
红,hóng,,kings,,0.375,xʊŋ,kɪŋz
欢迎,huān yíng,,coming,,0.4583333333333332,xwaniŋ,kəmɪŋ
还,huán,,sky,,0.25,xaɪ,skaɪ
回答,huí dá,,kuala,,0.4583333333333332,xweɪta,kwɑlə
机场,jī chǎng,,dissatisfaction,,0.673076923076923,tɕiʈʂʰɑŋ,dɪsætɪsfækʃən
鸡蛋,jī dàn,,started,,0.4999999999999999,tɕitan,stɑrtɪd
件,jiàn,,season,,0.55,tɕjɛn,sizən
教室,jiào shì,,variety,,0.59375,tɕjɑʊʂɨ,vəraɪəti
姐姐,jiě jie,,competition,,0.7,tɕjɛtɕjɛ,kɑmpətɪʃən
介绍,jiè shào,,deteriorated,,0.673076923076923,tɕjɛʂɑʊ,dɪtɪriəreɪtɪd
进,jìn,,train,,0.45,tɕin,treɪn
近,jìn,,train,,0.45,tɕin,treɪn
就,jiù,,rio,,0.4,tɕjoʊ,rioʊ
觉得,jué de,,where,,0.6249999999999999,tɕɥœtɤ,wɛr
咖啡,kā fēi,,crimea,,0.4999999999999999,kʰafeɪ,kraɪmiə
开始,kāi shǐ,,climate,,0.4999999999999999,kʰaɪʂɨ,klaɪmɪt
考试,kǎo shì,,crisis,,0.4999999999999999,kʰɑʊʂɨ,kraɪsəs
可能,kě néng,,kuomintang,,0.5750000000000001,kʰɤnɤŋ,kwoʊmɪntæŋ
可以,kě yǐ,,closely,,0.6428571428571428,kʰɤi,kloʊsli
课,kè,,class,,0.625,kʰɤ,klæs
快,kuài,,korea,,0.6000000000000001,kʰwaɪ,kɔriə
快乐,kuài lè,,acquired,,0.5625,kʰwaɪlɤ,əkwaɪərd
累,lèi,,they,,0.25,leɪ,ðeɪ
离,lí,,t,,0.25,li,ti
两,liǎng,,yang,,0.25,ljɑŋ,jæŋ
路,lù,,two,,0.25,lu,tu
旅游,lǚ yóu,,two-way,,0.45,lyyoʊ,tuweɪ
卖,mài,,bay,,0.25,maɪ,beɪ
慢,màn,,men,,0.25,man,mɛn
忙,máng,,bank,,0.3125,mɑŋ,bæŋk
每,měi,,by,,0.25,meɪ,baɪ
妹妹,mèi mei,,painting,,0.3749999999999999,meɪmeɪ,peɪnɪŋ
门,mén,,many,,0.3125,mən,mɛni
男人,nán rén,,nine,,0.3749999999999999,nanʐən,naɪn
您,nín,,needs,,0.3125,nin,nidz
牛奶,niú nǎi,,only,,0.4999999999999999,njoʊnaɪ,oʊnli
女人,nǚ rén,,notion,,0.3749999999999999,nyʐən,noʊʃən
旁边,páng biān,,permanent,,0.611111111111111,pʰɑŋpjɛn,pərmɑnɛnt
跑步,pǎo bù,,private,,0.5357142857142857,pʰɑʊpu,praɪvət
便宜,pián yi,,finally,,0.5357142857142857,pʰjɛni,faɪnəli
票,piào,,may,,0.6000000000000001,pʰjɑʊ,meɪ
妻子,qī zi,,territory,,0.59375,tɕʰitsɯ,tɛrɪtɔri
起床,qǐ chuáng,,socioeconomic,,0.7833333333333333,tɕʰiʈʂʰwɑŋ,soʊsioʊɛkənɑmɪk
千,qiān,,retaliation,,0.6363636363636362,tɕʰjɛn,ritælieɪʃən
晴,qíng,,to,,0.7,tɕʰiŋ,tɪ
去年,qù nián,,australian,,0.575,tɕʰynjɛn,ɔstreɪljən
让,ràng,,gang,,0.3333333333333333,ʐɑŋ,gæŋ
上班,shàng bān,,champion,,0.5357142857142857,ʂɑŋpan,ʧæmpiən
身体,shēn tǐ,,contain,,0.4999999999999999,ʂəntʰi,kənteɪn
生病,shēng bìng,,being,,0.6249999999999999,ʂɤŋpiŋ,biɪŋ
生日,shēng rì,,city,,0.55,ʂɤŋʐɨ,sɪti
时间,shí jiān,,determine,,0.5625,ʂɨtɕjɛn,dɪtərmən
事情,shì qing,,historic,,0.59375,ʂɨtɕʰiŋ,hɪstɔrɪk
手表,shǒu biǎo,,domain,,0.4999999999999999,ʂoʊpjɑʊ,doʊmeɪn
手机,shǒu jī,,protein,,0.5357142857142857,ʂoʊtɕi,proʊtin
送,sòng,,seeing,,0.375,sʊŋ,siɪŋ
所以,suǒ yǐ,,sumo,,0.45,swɔi,sumoʊ
它,tā,,dry,,0.5625,tʰa,draɪ
踢,tī,,he,,0.5833333333333333,tʰi,hi
题,tí,,he,,0.5833333333333333,tʰi,hi
跳舞,tiào wǔ,,stereotype,,0.6590909090909091,tʰjɑʊu,stɛrioʊtaɪp
外,wài,,while,,0.25,waɪ,waɪl
完,wán,,one,,0.25,wan,wən
玩,wán,,one,,0.25,wan,wən
晚上,wǎn shang,,quantum,,0.4999999999999999,wanʂɑŋ,kwɑntəm
为,wèi,,away,,0.25,weɪ,əweɪ
问,wèn,,what,,0.25,wən,wət
问题,wèn tí,,contain,,0.4999999999999999,wəntʰi,kənteɪn
西瓜,xī guā,,speaker,,0.6249999999999999,ɕikwa,spikər
希望,xī wàng,,viewing,,0.45,ɕiwɑŋ,vjuɪŋ
洗,xǐ,,c,,0.375,ɕi,si
向,xiàng,,zhejiang,,0.35,ɕjɑŋ,ʒiʤɑŋ
小时,xiǎo shí,,theatrically,,0.575,ɕjɑʊʂɨ,θiætrɪkəli
笑,xiào,,now,,0.5,ɕjɑʊ,naʊ
新,xīn,,themed,,0.3125,ɕin,θimd
姓,xìng,,hearing,,0.45,ɕiŋ,hirɪŋ
休息,xiū xi,,narrowly,,0.4999999999999999,ɕjoʊɕi,nɛroʊli
雪,xuě,,square,,0.55,ɕɥœ,skwɛr
颜色,yán sè,,event,,0.6000000000000001,jɛnsɤ,ɪvɛnt
眼睛,yǎn jing,,continue,,0.5625,jɛntɕiŋ,kəntɪnju
羊肉,yáng ròu,,diego,,0.5357142857142857,jɑŋʐoʊ,dieɪgoʊ
药,yào,,liao,,0.3125,jɑʊ,liaʊ
要,yào,,liao,,0.3125,jɑʊ,liaʊ
也,yě,,ia,,0.25,jɛ,iə
已经,yǐ jīng,,using,,0.5,itɕiŋ,juzɪŋ
一起,yī qǐ,,to,,0.7,itɕʰi,tɪ
意思,yì si,,dc,,0.375,isɯ,disi
阴,yīn,,been,,0.5,in,bɪn
因为,yīn wèi,,engaged,,0.4999999999999999,inweɪ,ɪngeɪʤd
游泳,yóu yǒng,,toyota,,0.59375,yoʊyʊŋ,toʊjoʊtə
右边,yòu bian,,columbian,,0.45,yoʊpjɛn,koʊləmbiən
鱼,yú,,new,,0.5,y,nu
元,yuán,,well,,0.25,ɥœn,wɛl
远,yuǎn,,well,,0.25,ɥœn,wɛl
运动,yùn dòng,,windows,,0.5357142857142857,yntʊŋ,wɪndoʊz
再,zài,,style,,0.4,tsaɪ,staɪl
早上,zǎo shang,,decided,,0.59375,tsɑʊʂɑŋ,dɪsaɪdɪd
张,zhāng,,mustang,,0.4583333333333333,ʈʂɑŋ,məstæŋ
长,zhǎng,,mustang,,0.4583333333333333,ʈʂɑŋ,məstæŋ
丈夫,zhàng fu,,time,,0.6249999999999999,ʈʂɑŋfu,taɪm
找,zhǎo,,scout,,0.45,ʈʂɑʊ,skaʊt
着,zhe,,small,,0.625,ʈʂɤ,smɔl
真,zhēn,,seven,,0.45,ʈʂən,sɛvən
正在,zhèng zài,,characteristic,,0.673076923076923,ʈʂɤŋtsaɪ,kɛrɪktərɪstɪk
知道,zhī dào,,storylines,,0.575,ʈʂɨtɑʊ,stɔrilaɪnz
准备,zhǔn bèi,,identify,,0.575,ʈʂwənpeɪ,aɪdɛntəfaɪ
自行车,zì xíng chē,,later,,0.75,tsɯɕiŋʈʂʰɤ,leɪtər
走,zǒu,,although,,0.45,tsoʊ,ɔlðoʊ
最,zuì,,way,,0.4,tsweɪ,weɪ
左边,zuǒ bian,,attributed,,0.575,tswɔpjɛn,ətrɪbjətəd
阿姨,ā yí,,by,,0.5,ai,baɪ
啊,a,,at,,0.5,a,æt
矮,ǎi,,by,,0.3333333333333333,aɪ,baɪ
爱好,ài hào,,ai,,0.4,aɪxɑʊ,eɪaɪ
安静,ān jìng,,ending,,0.4583333333333332,antɕiŋ,ɛndɪŋ
把,bǎ,,by,,0.3333333333333333,pa,baɪ
搬,bān,,been,,0.25,pan,bɪn
班,bān,,been,,0.25,pan,bɪn
半,bàn,,been,,0.25,pan,bɪn
办法,bàn fǎ,,five,,0.45,panfa,faɪv
办公室,bàn gōng shì,,practices,,0.611111111111111,pankʊŋʂɨ,præktɪsɪz
帮忙,bāng máng,,painting,,0.4583333333333332,pɑŋmɑŋ,peɪnɪŋ
包,bāo,,now,,0.25,pɑʊ,naʊ
饱,bǎo,,now,,0.25,pɑʊ,naʊ
北方,běi fāng,,making,,0.3333333333333333,peɪfɑŋ,meɪkɪŋ
被,bèi,,day,,0.25,peɪ,deɪ
鼻子,bí zi,,pc,,0.3,pitsɯ,pisi
比较,bǐ jiào,,by,,0.6071428571428571,pitɕjɑʊ,baɪ
比赛,bǐ sài,,peaceful,,0.3749999999999999,pisaɪ,pisfəl
必须,bì xū,,preschool,,0.5357142857142857,piɕy,priskul
变化,biàn huà,,bmw,,0.6363636363636362,pjɛnxwa,biɛmdəbəlju
表示,biǎo shì,,places,,0.5357142857142857,pjɑʊʂɨ,pleɪsɪz
表演,biǎo yǎn,,evaluation,,0.5227272727272727,pjɑʊjɛn,ɪvæljueɪʃən
别人,bié ren,,visit,,0.4583333333333332,pjɛʐən,vɪzɪt
宾馆,bīn guǎn,,included,,0.59375,pinkwan,ɪnkludɪd
冰箱,bīng xiāng,,patriarchate,,0.6363636363636364,piŋɕjɑŋ,peɪtriɑrkət
才,cái,,high,,0.55,tsʰaɪ,haɪ
菜单,cài dān,,translated,,0.5454545454545454,tsʰaɪtan,trænzleɪtəd
参加,cān jiā,,reconstituted,,0.673076923076923,tsʰantɕja,rikɑnstətutɪd
草,cǎo,,today,,0.6000000000000001,tsʰɑʊ,tədeɪ
层,céng,,during,,0.6499999999999999,tsʰɤŋ,dʊrɪŋ
差,chà,,state,,0.7,ʈʂʰa,steɪt
超市,chāo shì,,personality,,0.6363636363636362,ʈʂʰɑʊʂɨ,pərsənælɪti
衬衫,chèn shān,,television,,0.611111111111111,ʈʂʰənʂan,tɛləvɪʒən
成绩,chéng jì,,specifically,,0.675,ʈʂʰɤŋtɕi,spəsɪfɪkli
城市,chéng shì,,aristocracy,,0.6363636363636365,ʈʂʰɤŋʂɨ,ɛrəstɑkrəsi
迟到,chí dào,,society,,0.6666666666666666,ʈʂʰɨtɑʊ,soʊsaɪɪti
出现,chū xiàn,,constitutional,,0.673076923076923,ʈʂʰuɕjɛn,kɑnstətuʃənəl
除了,chú le,,through,,0.6666666666666666,ʈʂʰulɤ,θru
厨房,chú fáng,,certified,,0.6666666666666666,ʈʂʰufɑŋ,sərtəfaɪd
春,chūn,,susquehanna,,0.575,ʈʂʰwən,suskwɛhænə
词语,cí yǔ,,also,,0.7,tsʰɯy,ɔlsoʊ
聪明,cōng ming,,decision-making,,0.6730769230769231,tsʰʊŋmiŋ,dɪsɪʒənmeɪkɪŋ
打扫,dǎ sǎo,,last,,0.5,tasɑʊ,læst
打算,dǎ suàn,,taiwanese,,0.375,taswan,taɪwɑniz
带,dài,,time,,0.25,taɪ,taɪm
担心,dān xīn,,started,,0.4999999999999999,tanɕin,stɑrtɪd
蛋糕,dàn gāo,,deny,,0.4583333333333332,tankɑʊ,dɪnaɪ
当然,dāng rán,,shanghai,,0.4166666666666666,tɑŋʐan,ʃæŋhaɪ
地,de,,tow,,0.4999999999999999,tɤ,toʊ
灯,dēng,,hong,,0.3333333333333333,tɤŋ,hɔŋ
低,dī,,to,,0.25,ti,tɪ
地方,dì fang,,shipping,,0.45,tifɑŋ,ʃɪpɪŋ
地铁,dì tiě,,senior,,0.5833333333333333,titʰjɛ,sinjər
地图,dì tú,,into,,0.55,titʰu,ɪntu
电梯,diàn tī,,henry,,0.4999999999999999,tjɛntʰi,hɛnri
电子,diàn zǐ,,country,,0.4999999999999999,tjɛntsɯ,kəntri
冬,dōng,,eating,,0.375,tʊŋ,itɪŋ
东,dōng,,eating,,0.375,tʊŋ,itɪŋ
动物,dòng wù,,meetings,,0.5833333333333333,tʊŋu,mitɪŋz
短,duǎn,,twice,,0.4,twan,twaɪs
段,duàn,,twice,,0.4,twan,twaɪs
锻炼,duàn liàn,,transcription,,0.5208333333333334,twanljɛn,trænskrɪpʃən
多么,duō me,,want,,0.5,twɔmɤ,wɔnt
饿,è,,more,,0.7499999999999999,ɤ,mɔr
而且,ér qiě,,activities,,0.6666666666666666,ɑɻtɕʰjɛ,æktɪvɪtiz
耳朵,ěr duo,,into,,0.6000000000000001,ɑɻtwɔ,ɪntu
发烧,fā shāo,,ballet,,0.4,faʂɑʊ,bæleɪ
发现,fā xiàn,,mission,,0.4583333333333332,faɕjɛn,mɪʃən
方便,fāng biàn,,million,,0.4999999999999999,fɑŋpjɛn,mɪljən
放,fàng,,back,,0.25,fɑŋ,bæk
放心,fàng xīn,,action,,0.4166666666666666,fɑŋɕin,ækʃən
分,fēn,,often,,0.25,fən,ɔfən
附近,fù jìn,,philippine,,0.4999999999999999,futɕin,fɪləpin
复习,fù xí,,fleshy,,0.45,fuɕi,flɛʃi
干净,gān jìng,,considering,,0.5249999999999999,kantɕiŋ,kənsɪdərɪŋ
敢,gǎn,,can,,0.25,kan,kən
感冒,gǎn mào,,economy,,0.4999999999999999,kanmɑʊ,ɪkɑnəmi
刚才,gāng cái,,calculations,,0.673076923076923,kɑŋtsʰaɪ,kælkjəleɪʃənz
根据,gēn jù,,contest,,0.4999999999999999,kəntɕy,kɑntɛst
跟,gēn,,cup,,0.25,kən,kəp
更,gèng,,kong,,0.3125,kɤŋ,kɔŋg
公园,gōng yuán,,execution,,0.575,kʊŋɥœn,ɛksəkjuʃən
故事,gù shi,,actually,,0.5357142857142857,kuʂɨ,ækʧuəli
刮,guā,,kumar,,0.45,kwa,kumɑr
关,guān,,yuan,,0.3125,kwan,juɑn
关系,guān xì,,wealthy,,0.4583333333333332,kwanɕi,wɛlθi
关心,guān xīn,,quickly,,0.4999999999999999,kwanɕin,kwɪkli
关于,guān yú,,yuan,,0.45,kwany,juɑn
国家,guó jiā,,qualifiers,,0.6363636363636364,kwɔtɕja,kwɑləfaɪərz
果汁,guǒ zhī,,thwarted,,0.4999999999999999,kwɔʈʂɨ,θwɔrtɪd
过去,guò qu,,quartermaster,,0.6730769230769231,kwɔtɕʰy,kwɔrtərmæstər
还是,hái shi,,comedy,,0.3749999999999999,xaɪʂɨ,kɑmədi
害怕,hài pà,,compromise,,0.5750000000000001,xaɪpʰa,kɑmprəmaɪz
河,hé,,co,,0.4999999999999999,xɤ,koʊ
